	Yeast_level	sp1	sp2st1	sp2st2	sp2st3	sp3	sp4	sp5	sp6	sp7	sp8	Yield_Average	Yield_SD	Yield_Rank	Yeast_Average	Yeast_SD	Bac_Average	Bac_SD	Yeast_RA_Av	Yeast_RA_SD	Bac_RA_Av	Bac_RA_SD	rank_yeastAV	rank_bacAV	rank_yeastRA	rank_bacRA
yeast+sp1+sp5+sp3/100	100	1	0	0	0	1	0	1	0	0	0	95.45	0.77	95	1.2051778e+007	855580.6	73111.11	14322.56	99.39313	0.130275	0.60687	0.130275	92	26	91	25
yeast+sp1+sp5+sp6/100	100	1	0	0	0	0	0	1	1	0	0	92.65	2.71	85	1.1843111e+007	367506.2	85333.33	16027.75	99.28226	0.144134	0.717739	0.144134	87	31	87	26
yeast+sp1+sp5+sp3+sp6/100	100	1	0	0	0	1	0	1	1	0	0	91.72	3.6	77	1.1870444e+007	1166715	59111.11	15798.11	99.50618	0.125873	0.493815	0.125873	89	21	94	24
yeast+sp1+sp3+sp6/100	100	1	0	0	0	1	0	0	1	0	0	94.06	1.55	93	1.1592889e+007	2411957	44444.44	18429.71	99.6346	0.079109	0.365401	0.079109	81	17	96	21
yeast+sp4+sp5/100	100	0	0	0	0	0	1	1	0	0	0	80.2	2.52	28	1.0536444e+007	1238549	546000	315811.5	94.99518	3.119866	5.004817	3.119866	52	85	29	94
yeast+sp4+sp3/100	100	0	0	0	0	1	1	0	0	0	0	82.6	2.75	32	7752000	1225159	543333.3	173139.2	93.40064	1.843164	6.599355	1.843164	15	84	27	91
yeast+sp4+sp6/100	100	0	0	0	0	0	1	0	1	0	0	81.71	2.95	30	1.1506e+007	1586459	381555.6	134268.2	96.80461	1.104756	3.195389	1.104756	76	82	33	80
yeast+sp4+sp5+sp3/100	100	0	0	0	0	1	1	1	0	0	0	76.85	1.6	23	1.1541556e+007	2068952	602888.9	230272.8	95.13559	1.248709	4.864409	1.248709	78	88	30	85
yeast+sp4+sp5+sp6/100	100	0	0	0	0	0	1	1	1	0	0	82.57	3.51	31	1.0677778e+007	1327490	318666.7	85543.14	97.15609	0.424568	2.843912	0.424568	57	80	34	52
yeast+sp4+sp3+sp6/100	100	0	0	0	0	1	1	0	1	0	0	72.4	4.88	21	1.0652889e+007	766010.2	281555.6	79744.65	97.4597	0.605741	2.540298	0.605741	55	76	39	64
yeast+sp4+sp5+sp3+sp6/100	100	0	0	0	0	1	1	1	1	0	0	83.06	1.87	33	9904667	1186796	272666.7	108931.5	97.35299	1.015665	2.647006	1.015665	34	75	36	77
yeast+sp5+sp3/100	100	0	0	0	0	1	0	1	0	0	0	79.91	1.79	26	1.0216667e+007	1213143	130444.4	34029.76	98.76004	0.188554	1.23996	0.188554	45	49	63	32
yeast+sp5+sp6/100	100	0	0	0	0	0	0	1	1	0	0	74.18	2.77	22	1.0138444e+007	568925.8	150000	52699.01	98.5496	0.504441	1.450396	0.504441	41	54	58	60
yeast+sp5+sp3+sp6/100	100	0	0	0	0	1	0	1	1	0	0	80.16	2.97	27	9871778	2302595	72444.44	34488.14	99.2704	0.255787	0.7296	0.255787	30	25	85	44
yeast+sp3+sp6/100	100	0	0	0	0	1	0	0	1	0	0	78.27	0.59	24	9657111	1042165	82888.89	21618.46	99.16012	0.163601	0.839877	0.163601	25	29	79	29
